0;0;0;0;land;false;unknown;0
1;210;159;178;land;false;plains;1
2;190;201;250;land;false;plains;1
3;179;189;154;land;false;forest;1
4;217;210;134;land;false;plains;1
5;246;202;182;land;false;forest;1
6;244;184;110;land;false;forest;1
7;165;216;249;land;false;forest;1
8;224;142;161;land;false;plains;1
9;230;210;238;land;false;plains;1
10;228;221;138;land;false;plains;1
11;154;130;234;land;false;forest;1
12;114;254;229;land;false;plains;1
13;126;230;160;land;true;forest;1
14;96;175;230;land;true;plains;1
15;215;79;230;land;false;mountain;1
16;235;247;176;land;false;plains;1
17;242;231;54;land;false;plains;1
18;228;246;44;land;false;plains;1
19;223;217;249;land;false;forest;1
20;221;228;112;land;false;plains;1
21;192;208;135;land;false;plains;1
22;54;247;252;land;false;hills;1
23;250;186;240;land;false;plains;1
24;185;166;209;land;false;plains;1
25;227;183;115;land;false;plains;1
26;90;243;253;land;false;plains;1
27;187;157;189;land;false;plains;1
28;205;200;176;land;false;plains;1
29;236;141;170;land;false;mountain;1
30;157;233;120;land;false;forest;1
31;189;201;183;land;false;plains;1
32;215;245;53;land;true;plains;1
33;248;150;248;land;false;plains;1
34;146;250;118;land;false;jungle;1
35;102;243;172;land;false;plains;1
36;186;246;98;land;false;plains;1
37;183;213;202;land;false;plains;1
38;153;160;222;land;false;plains;1
39;226;237;89;land;false;forest;1
40;76;233;219;land;false;forest;1
41;211;191;135;land;false;plains;1
42;237;252;111;land;false;mountain;1
43;245;229;106;land;true;plains;1
44;243;253;168;land;false;plains;1
45;65;236;232;land;false;plains;1
46;191;252;72;land;true;plains;1
47;214;187;187;land;false;forest;1
48;247;120;249;land;false;plains;1
49;219;181;192;land;false;plains;1
50;240;172;187;land;false;plains;1
51;132;182;226;land;true;plains;1
52;118;174;219;land;false;jungle;1
53;97;245;252;land;false;forest;1
54;245;62;205;land;false;plains;1
55;218;166;124;land;true;plains;1
56;231;209;133;land;false;plains;1
57;132;197;250;land;false;hills;1
58;219;216;75;land;false;forest;1
59;137;235;132;land;false;plains;1
60;16;252;241;land;false;plains;1
61;247;122;176;land;false;forest;1
62;254;136;240;land;false;marsh;1
63;202;239;184;land;false;forest;1
64;101;159;248;land;false;plains;1
65;254;209;157;land;false;plains;1
66;187;234;158;land;false;plains;1
67;195;252;126;land;false;plains;1
68;248;115;162;land;false;plains;1
69;202;160;179;land;false;plains;1
70;227;155;172;land;false;plains;1
71;207;81;218;land;false;plains;1
72;249;143;173;land;false;plains;1
73;105;204;202;land;false;forest;1
74;172;227;154;land;false;forest;1
75;215;186;181;land;false;plains;1
76;116;165;223;land;false;plains;1
77;197;204;160;land;false;plains;1
78;190;181;178;land;false;forest;1
79;253;225;156;land;true;plains;1
80;69;246;228;land;false;plains;1
81;199;102;233;land;false;plains;1
82;143;175;222;land;false;plains;1
83;235;229;214;land;false;forest;1
84;240;175;216;land;true;plains;1
85;143;235;128;land;false;forest;1
86;97;211;215;land;false;plains;1
87;70;215;244;land;false;plains;1
88;149;172;180;land;false;plains;1
89;178;83;251;land;false;hills;1
90;91;237;200;land;false;forest;1
91;233;113;184;land;false;plains;1
92;252;240;157;land;false;forest;1
93;226;63;242;land;false;forest;1
94;194;191;172;land;false;plains;1
95;188;227;104;land;false;plains;1
96;184;187;248;land;false;plains;1
97;190;189;185;land;false;forest;1
98;178;234;232;land;true;forest;1
99;240;105;164;land;false;plains;1
100;223;214;92;land;false;jungle;1
101;212;155;150;land;false;forest;1
102;206;197;179;land;false;plains;1
103;178;149;227;land;false;plains;1
104;146;203;178;land;false;mountain;1
105;243;198;230;land;false;forest;1
106;219;234;184;land;false;plains;1
107;174;247;124;land;false;plains;1
108;148;193;202;land;false;marsh;1
109;213;202;151;land;true;plains;1
